["アサルト", "Assault"]
["ベビーキャロット＋_AGI", "Lethal Carrot+"]
["ベビーキャロット＋_DEF", "Lethal Carrot+"]
["ベビーキャロット＋_RES", "Lethal Carrot+"]
["光の剣", "Light Brand"]
["光のブレス＋_ATK", "Light Breath+"]
["光のブレス＋_AGI", "Light Breath+"]
["光のブレス＋_DEF", "Light Breath+"]
["光のブレス＋_RES", "Light Breath+"]
["雷のブレス＋_ATK", "Lightning Breath+"]
["雷のブレス＋_AGI", "Lightning Breath+"]
["雷のブレス＋_DEF", "Lightning Breath+"]
["雷のブレス＋_RES", "Lightning Breath+"]
["リリスの浮き輪＋_ATK", "Lilith Floatie+"]
["リリスの浮き輪＋_AGI", "Lilith Floatie+"]
["リリスの浮き輪＋_DEF", "Lilith Floatie+"]
["リリスの浮き輪＋_RES", "Lilith Floatie+"]
["ロプトウス", "Loptous"]
["マスターソード", "Meisterschwert"]
["スイカ割りの棍棒＋_ATK", "Melon Crusher+"]
["スイカ割りの棍棒＋_AGI", "Melon Crusher+"]
["スイカ割りの棍棒＋_DEF", "Melon Crusher+"]
["スイカ割りの棍棒＋_RES", "Melon Crusher+"]
["トールハンマー", "Mjölnir"]
["骨の弓＋_ATK", "Monstrous Bow+"]
["骨の弓＋_AGI", "Monstrous Bow+"]
["骨の弓＋_DEF", "Monstrous Bow+"]
["骨の弓＋_RES", "Monstrous Bow+"]
["ミュルグレ", "Mulagir"]
["ムニンの魔卵", "Muninn's Egg"]
["ムスペルの炎花", "Múspell Fireposy"]
["ミストルティン", "Mystletainn"]
["ミストルティン_ATK", "Mystletainn"]
["ミストルティン_AGI", "Mystletainn"]
["ミストルティン_DEF", "Mystletainn"]
["ミストルティン_RES", "Mystletainn"]
["ミストルティン_獅", "Mystletainn"]
["ナーガ", "Naga"]
["ナグルファル", "Naglfar"]
["無銘の一門の剣", "Nameless Blade"]
["無銘の一門の剣_ATK", "Nameless Blade"]
["無銘の一門の剣_AGI", "Nameless Blade"]
["無銘の一門の剣_DEF", "Nameless Blade"]
["無銘の一門の剣_RES", "Nameless Blade"]
["無銘の一門の剣_奥", "Nameless Blade"]
["蛇弓ニーズヘッグ", "Nidhogg"]
["ニフルの氷花", "Nifl Frostflowers"]
["ニーウ", "Níu"]
["ノーアトゥーン", "Nóatún"]
["ペイン＋_神", "Pain+"]
["ペイン＋_幻", "Pain+"]
["パニック＋_神", "Panic+"]
["パニック＋_幻", "Panic+"]
["パルティア_ATK", "Parthia"]
["パルティア_AGI", "Parthia"]
["パルティア_DEF", "Parthia"]
["パルティア_RES", "Parthia"]
["パルティア_遠", "Parthia"]
["パルティア", "Parthia"]
["ペシュカド", "Peshkatz"]
["ポールアクス＋_ATK", "Poleaxe+"]
["ポールアクス＋_AGI", "Poleaxe+"]
["ポールアクス＋_DEF", "Poleaxe+"]
["ポールアクス＋_RES", "Poleaxe+"]
["ポールアクス＋_無", "Poleaxe+"]
["ライナロック", "Ragnarok"]
["ラグネル", "Ragnell"]
["雷神刀", "Raijinto"]
["ラウアアウル＋_ATK", "Rauðrowl+"]
["ラウアアウル＋_AGI", "Rauðrowl+"]
["ラウアアウル＋_DEF", "Rauðrowl+"]
["ラウアアウル＋_RES", "Rauðrowl+"]
["カタリナの書", "Reese's Tome"]
["カタリナの書_ATK", "Reese's Tome"]
["カタリナの書_AGI", "Reese's Tome"]
["カタリナの書_DEF", "Reese's Tome"]
["カタリナの書_RES", "Reese's Tome"]
["カタリナの書_謀", "Reese's Tome"]
["氷菓子の弓＋_ATK", "Refreshing Bolt+"]
["氷菓子の弓＋_AGI", "Refreshing Bolt+"]
["氷菓子の弓＋_DEF", "Refreshing Bolt+"]
["氷菓子の弓＋_RES", "Refreshing Bolt+"]
["リガルブレイド", "Regal Blade"]
["リガルブレイド_ATK", "Regal Blade"]
["リガルブレイド_AGI", "Regal Blade"]
["リガルブレイド_DEF", "Regal Blade"]
["リガルブレイド_RES", "Regal Blade"]
["リガルブレイド_絆", "Regal Blade"]
["反攻の槍＋_ATK", "Reprisal Lance+"]
["反攻の槍＋_AGI", "Reprisal Lance+"]
["反攻の槍＋_DEF", "Reprisal Lance+"]
["反攻の槍＋_RES", "Reprisal Lance+"]
["気鋭ワユの剣", "Resolute Blade"]
["レクスカリバー＋_ATK", "Rexcalibur+"]
["レクスカリバー＋_AGI", "Rexcalibur+"]
["レクスカリバー＋_DEF", "Rexcalibur+"]
["レクスカリバー＋_RES", "Rexcalibur+"]
["ロムファイア", "Rhomphaia"]
["ロムファイア_ATK", "Rhomphaia"]
["ロムファイア_AGI", "Rhomphaia"]
["ロムファイア_DEF", "Rhomphaia"]
["ロムファイア_RES", "Rhomphaia"]
["ロムファイア_柔", "Rhomphaia"]
["ホースキラー＋_ATK", "Ridersbane+"]
["ホースキラー＋_AGI", "Ridersbane+"]
["ホースキラー＋_DEF", "Ridersbane+"]
["ホースキラー＋_RES", "Ridersbane+"]
["ホースキラー＋_無", "Ridersbane+"]
["盗賊の暗器＋_ATK", "Rogue Dagger+"]
["盗賊の暗器＋_AGI", "Rogue Dagger+"]
["盗賊の暗器＋_DEF", "Rogue Dagger+"]
["盗賊の暗器＋_RES", "Rogue Dagger+"]
["プレゼント袋＋_ATK", "Sack o' Gifts+"]
["プレゼント袋＋_AGI", "Sack o' Gifts+"]
["プレゼント袋＋_DEF", "Sack o' Gifts+"]
["プレゼント袋＋_RES", "Sack o' Gifts+"]
["守りの剣＋_ATK", "Safeguard+"]
["守りの剣＋_AGI", "Safeguard+"]
["守りの剣＋_DEF", "Safeguard+"]
["守りの剣＋_RES", "Safeguard+"]
["封剣ファルシオン", "Sealed Falchion"]
["熱帯魚の本＋_ATK", "Sealife Tome+"]
["熱帯魚の本＋_AGI", "Sealife Tome+"]
["熱帯魚の本＋_DEF", "Sealife Tome+"]
["熱帯魚の本＋_RES", "Sealife Tome+"]
["貝殻＋_ATK", "Seashell+"]
["貝殻＋_AGI", "Seashell+"]
["貝殻＋_DEF", "Seashell+"]
["貝殻＋_RES", "Seashell+"]
["貝殻の槍＋_ATK", "Shell Lance+"]
["貝殻の槍＋_AGI", "Shell Lance+"]
["貝殻の槍＋_DEF", "Shell Lance+"]
["貝殻の槍＋_RES", "Shell Lance+"]
["シャイン＋_ATK", "Shine+"]
["シャイン＋_AGI", "Shine+"]
["シャイン＋_DEF", "Shine+"]
["シャイン＋_RES", "Shine+"]
["ジークフリート", "Siegfried"]
["ジークリンデ", "Sieglinde"]
["ジークリンデ_ATK", "Sieglinde"]
["ジークリンデ_AGI", "Sieglinde"]
["ジークリンデ_DEF", "Sieglinde"]
["ジークリンデ_RES", "Sieglinde"]
["ジークリンデ_共", "Sieglinde"]
["ジークムント", "Siegmund"]
["ジークムント_ATK", "Siegmund"]
["ジークムント_AGI", "Siegmund"]
["ジークムント_DEF", "Siegmund"]
["ジークムント_RES", "Siegmund"]
["ジークムント_追", "Siegmund"]
["銀の斧＋_ATK", "Silver Axe+"]
["銀の斧＋_AGI", "Silver Axe+"]
["銀の斧＋_DEF", "Silver Axe+"]
["銀の斧＋_RES", "Silver Axe+"]
["銀の弓＋_ATK", "Silver Bow+"]
["銀の弓＋_AGI", "Silver Bow+"]
["銀の弓＋_DEF", "Silver Bow+"]
["銀の弓＋_RES", "Silver Bow+"]
["銀の暗器＋_ATK", "Silver Dagger+"]
["銀の暗器＋_AGI", "Silver Dagger+"]
["銀の暗器＋_DEF", "Silver Dagger+"]
["銀の暗器＋_RES", "Silver Dagger+"]
["銀の槍＋_ATK", "Silver Lance+"]
["銀の槍＋_AGI", "Silver Lance+"]
["銀の槍＋_DEF", "Silver Lance+"]
["銀の槍＋_RES", "Silver Lance+"]
["銀の剣＋_ATK", "Silver Sword+"]
["銀の剣＋_AGI", "Silver Sword+"]
["銀の剣＋_DEF", "Silver Sword+"]
["銀の剣＋_RES", "Silver Sword+"]
["シンモラ", "Sinmara"]
["スカディ", "Skadi"]
["スクルド", "Skuld"]
["キラーアクス2＋_ATK", "Slaying Axe+"]
["キラーアクス2＋_AGI", "Slaying Axe+"]
["キラーアクス2＋_DEF", "Slaying Axe+"]
["キラーアクス2＋_RES", "Slaying Axe+"]
["キラーボウ2＋_ATK", "Slaying Bow+"]
["キラーボウ2＋_AGI", "Slaying Bow+"]
["キラーボウ2＋_DEF", "Slaying Bow+"]
["キラーボウ2＋_RES", "Slaying Bow+"]
["キルソード2＋_ATK", "Slaying Edge+"]
["キルソード2＋_AGI", "Slaying Edge+"]
["キルソード2＋_DEF", "Slaying Edge+"]
["キルソード2＋_RES", "Slaying Edge+"]
["ハンマー2＋_ATK", "Slaying Hammer+"]
["ハンマー2＋_AGI", "Slaying Hammer+"]
["ハンマー2＋_DEF", "Slaying Hammer+"]
["ハンマー2＋_RES", "Slaying Hammer+"]
["ハンマー2＋_無", "Slaying Hammer+"]
["キラーランス2＋_ATK", "Slaying Lance+"]
["キラーランス2＋_AGI", "Slaying Lance+"]
["キラーランス2＋_DEF", "Slaying Lance+"]
["キラーランス2＋_RES", "Slaying Lance+"]
["貫きの槍2＋_ATK", "Slaying Spear+"]
["貫きの槍2＋_AGI", "Slaying Spear+"]
["貫きの槍2＋_DEF", "Slaying Spear+"]
["貫きの槍2＋_RES", "Slaying Spear+"]
["貫きの槍2＋_無", "Slaying Spear+"]
["スロウ＋_神", "Slow+"]
["スロウ＋_幻", "Slow+"]
["紫煙の暗器＋_ATK", "Smoke Dagger+"]
["紫煙の暗器＋_AGI", "Smoke Dagger+"]
["紫煙の暗器＋_DEF", "Smoke Dagger+"]
["紫煙の暗器＋_RES", "Smoke Dagger+"]
["ソールカティ_ATK", "Sol Katti"]
["ソールカティ_AGI", "Sol Katti"]
["ソールカティ_DEF", "Sol Katti"]
["ソールカティ_RES", "Sol Katti"]
["ソールカティ_差", "Sol Katti"]
["ソールカティ", "Sol Katti"]
["ゴーストの魔道書＋_ATK", "Spectral Tome+"]
["ゴーストの魔道書＋_AGI", "Spectral Tome+"]
["ゴーストの魔道書＋_DEF", "Spectral Tome+"]
["ゴーストの魔道書＋_RES", "Spectral Tome+"]
["ヒトデ＋_ATK", "Starfish+"]
["ヒトデ＋_AGI", "Starfish+"]
["ヒトデ＋_DEF", "Starfish+"]
["ヒトデ＋_RES", "Starfish+"]
["剛斧トマホーク", "Stout Tomahawk"]
["真夏のブレス", "Summer's Breath"]
["疾弓ミュルグレ", "Swift Mulagir"]
["聖樹＋_ATK", "Tannenboom!+"]
["聖樹＋_AGI", "Tannenboom!+"]
["聖樹＋_DEF", "Tannenboom!+"]
["聖樹＋_RES", "Tannenboom!+"]
["セイニー", "Thani"]
["粛清の暗器＋_ATK", "The Cleaner+"]
["粛清の暗器＋_AGI", "The Cleaner+"]
["粛清の暗器＋_DEF", "The Cleaner+"]
["粛清の暗器＋_RES", "The Cleaner+"]
["ソグン", "Thögn"]
["セック", "Thökk"]
["トロン＋_ATK", "Thoron+"]
["トロン＋_AGI", "Thoron+"]
["トロン＋_DEF", "Thoron+"]
["トロン＋_RES", "Thoron+"]
["天雷アルマーズ", "Thunder Armads"]
["雷旋トルネード", "Thunderhead"]
["トマトの本＋_ATK", "Tomato Tome+"]
["トマトの本＋_AGI", "Tomato Tome+"]
["トマトの本＋_DEF", "Tomato Tome+"]
["トマトの本＋_RES", "Tomato Tome+"]
["トリレンマ＋_神", "Trilemma+"]
["トリレンマ＋_幻", "Trilemma+"]
["ティルフィング", "Tyrfing"]
["ウルズ", "Urðr"]
["ウルヴァン", "Urvan"]
["ヴラスキャルヴ", "Valaskjálf"]
["ファラフレイム", "Valflame"]
["剣姫の刀", "Vassal's Blade"]
["翼槍ヴィドフニル", "Vidofnir"]
["軍神の書", "Wargod's Tome"]
["戦姫の和弓", "Warrior Princess"]
["水のブレス＋_ATK", "Water Breath+"]
["水のブレス＋_AGI", "Water Breath+"]
["水のブレス＋_DEF", "Water Breath+"]
["水のブレス＋_RES", "Water Breath+"]
["奇異ルーテの書", "Weirding Tome"]
["深き印の風", "Wind's Brand"]
["深き印の風_ATK", "Wind's Brand"]
["深き印の風_AGI", "Wind's Brand"]
["深き印の風_DEF", "Wind's Brand"]
["深き印の風_RES", "Wind's Brand"]
["深き印の風_梟", "Wind's Brand"]
["ウイングソード", "Wing Sword"]
["ウイングソード_ATK", "Wing Sword"]
["ウイングソード_AGI", "Wing Sword"]
["ウイングソード_DEF", "Wing Sword"]
["ウイングソード_RES", "Wing Sword"]
["ウイングソード_柔", "Wing Sword"]
["倭刀＋_ATK", "Wo Dao+"]
["倭刀＋_AGI", "Wo Dao+"]
["倭刀＋_DEF", "Wo Dao+"]
["倭刀＋_RES", "Wo Dao+"]
["倭棍＋_ATK", "Wo Gùn+"]
["倭棍＋_AGI", "Wo Gùn+"]
["倭棍＋_DEF", "Wo Gùn+"]
["倭棍＋_RES", "Wo Gùn+"]
["ヴォルフベルグ", "Wolf Berg"]
["夜刀神_ATK", "Yato"]
["夜刀神_AGI", "Yato"]
["夜刀神_DEF", "Yato"]
["夜刀神_RES", "Yato"]
["夜刀神_魅", "Yato"]
["夜刀神", "Yato"]
["斬馬刀＋_ATK", "Zanbato+"]
["斬馬刀＋_AGI", "Zanbato+"]
["斬馬刀＋_DEF", "Zanbato+"]
["斬馬刀＋_RES", "Zanbato+"]
["斬馬刀＋_無", "Zanbato+"]
["ライブ", "Heal"]
["リライブ", "Mend"]
["ヒール", "Reconcile"]
["献身", "Ardent Sacrifice"]
["一喝", "Harsh Command"]
["セインツ", "Martyr"]
["リブロー", "Physic"]
["攻撃の応援", "Rally Attack"]
["守備の応援", "Rally Defense"]
["魔防の応援", "Rally Resistance"]
["速さの応援", "Rally Speed"]
["相互援助", "Reciprocal Aid"]
["リカバー", "Recover"]
["リバース", "Rehabilitate"]
["レスト", "Restore"]
["引き寄せ", "Draw Back"]
["セインツ＋", "Martyr+"]
["リブロー＋", "Physic+"]
["回り込み", "Pivot"]
["リカバー＋", "Recover+"]
["リバース＋", "Rehabilitate+"]
["引き戻し", "Reposition"]
["レスト＋", "Restore+"]
["体当たり", "Shove"]
["ぶちかまし", "Smite"]
["入れ替え", "Swap"]
["未来を映す瞳", "Future Vision"]
["攻撃守備の応援", "Rally Atk/Def"]
["攻撃魔防の応援", "Rally Atk/Res"]
["攻撃速さの応援", "Rally Atk/Spd"]
["守備魔防の応援", "Rally Def/Res"]
["速さ守備の応援", "Rally Spd/Def"]
["速さ魔防の応援", "Rally Spd/Res"]
["癒しの手", "Sacrifice"]
["踊る", "Dance"]
["歌う", "Sing"]
["小盾", "Buckler"]
["氷点", "Chilling Wind"]
["陽影", "Daylight"]
["伏竜", "Dragon Gaze"]
["蛍火", "Glowing Ember"]
["天照", "Heavenly Light"]
["聖衣", "Holy Vestments"]
["治癒", "Imbue"]
["業火の祝福", "Kindled-Fire Balm"]
["祈り", "Miracle"]
["影月", "New Moon"]
["星影", "Night Sky"]
["雪辱", "Retribution"]
["大地の祝福", "Solid-Earth Balm"]
["静水の祝福", "Still-Water Balm"]
["疾風の祝福", "Swift-Winds Balm"]
["聖盾", "Aegis"]
["流星", "Astra"]
["緋炎", "Bonfire"]
["竜裂", "Draconic Aura"]
["竜穿", "Dragon Fang"]
["長盾", "Escutcheon"]
["氷華", "Glacies"]
["凶星", "Glimmer"]
["氷蒼", "Iceberg"]
["華炎", "Ignis"]
["月光", "Luna"]
["月虹", "Moonbow"]
["夕陽", "Noontime"]
["大盾", "Pavise"]
["血讐", "Reprisal"]
["砕火", "Rising Flame"]
["砕光", "Rising Light"]
["砕雷", "Rising Thunder"]
["砕風", "Rising Wind"]
["聖兜", "Sacred Cowl"]
["太陽", "Sol"]
["復讐", "Vengeance"]
["天空", "Aether"]
["黒の月光", "Black Luna"]
["烈火", "Blazing Flame"]
["烈光", "Blazing Light"]
["烈雷", "Blazing Thunder"]
["烈風", "Blazing Wind"]
["疾風迅雷", "Galeforce"]
["爆火", "Growing Flame"]
["爆光", "Growing Light"]
["爆雷", "Growing Thunder"]
["爆風", "Growing Wind"]
["氷の聖鏡", "Ice Mirror"]
["蒼の天空", "Radiant Aether"]
["剣姫の流星", "Regnal Astra"]
["金剛の一撃1", "Armored Blow 1"]
["攻撃守備の絆1", "Atk/Def Bond 1"]
["攻撃魔防の絆1", "Atk/Res Bond 1"]
["攻撃速さの絆1", "Atk/Spd Bond 1"]
["攻撃速さの渾身1", "Atk/Spd Push 1"]
["攻撃1", "Attack +1"]
["攻撃守備の大覚醒1", "Brazen Atk/Def 1"]
["攻撃魔防の大覚醒1", "Brazen Atk/Res 1"]
["攻撃速さの大覚醒1", "Brazen Atk/Spd 1"]
["守備魔防の大覚醒1", "Brazen Def/Res 1"]
["近距離防御1", "Close Def 1"]
["飛燕の一撃1", "Darting Blow 1"]
["飛燕の構え1", "Darting Stance 1"]
["鬼神の一撃1", "Death Blow 1"]
["守備1", "Defense +1"]
["攻撃の覚醒1", "Defiant Atk 1"]
["守備の覚醒1", "Defiant Def 1"]
["魔防の覚醒1", "Defiant Res 1"]
["速さの覚醒1", "Defiant Spd 1"]
["遠距離防御1", "Distant Def 1"]
["生命の大地1", "Earth Boost 1"]
["鬼神の構え1", "Fierce Stance 1"]
["生命の業火1", "Fire Boost 1"]
["柔剣1", "Flashing Blade 1"]
["守備の城塞1", "Fortress Def 1"]
["魔防の城塞1", "Fortress Res 1"]
["獅子奮迅1", "Fury 1"]
["剛剣1", "Heavy Blade 1"]
["HP1", "HP +3"]
["死線1", "Life and Death 1"]
["魔防1", "Resistance +1"]
["速さ守備の絆1", "Spd/Def Bond 1"]
["速さ魔防の絆1", "Spd/Res Bond 1"]
["速さ1", "Speed +1"]
["金剛の構え1", "Steady Stance 1"]
["相性激化1", "Triangle Adept 1"]
["明鏡の一撃1", "Warding Blow 1"]
["明鏡の構え1", "Warding Stance 1"]
["生命の静水1", "Water Boost 1"]
["生命の疾風1", "Wind Boost 1"]
["金剛の一撃2", "Armored Blow 2"]
["攻撃守備の絆2", "Atk/Def Bond 2"]
["攻撃魔防の絆2", "Atk/Res Bond 2"]
["攻撃速さ1", "Atk/Spd 1"]
["攻撃速さの絆2", "Atk/Spd Bond 2"]
["攻撃速さの渾身2", "Atk/Spd Push 2"]
["攻撃2", "Attack +2"]
["攻撃守備1", "Attack/Def +1"]
["攻撃魔防1", "Attack/Res 1"]
["金剛明鏡の一撃1", "Bracing Blow 1"]
["金剛明鏡の構え1", "Bracing Stance 1"]
["攻撃守備の大覚醒2", "Brazen Atk/Def 2"]
["攻撃魔防の大覚醒2", "Brazen Atk/Res 2"]
["攻撃速さの大覚醒2", "Brazen Atk/Spd 2"]
["守備魔防の大覚醒2", "Brazen Def/Res 2"]
["近距離防御2", "Close Def 2"]
["飛燕の一撃2", "Darting Blow 2"]
["飛燕の構え2", "Darting Stance 2"]
["鬼神の一撃2", "Death Blow 2"]
["守備2", "Defense +2"]
["攻撃の覚醒2", "Defiant Atk 2"]
["守備の覚醒2", "Defiant Def 2"]
["魔防の覚醒2", "Defiant Res 2"]
["速さの覚醒2", "Defiant Spd 2"]
["遠距離防御2", "Distant Def 2"]
["生命の大地2", "Earth Boost 2"]
["鬼神の構え2", "Fierce Stance 2"]
["生命の業火2", "Fire Boost 2"]
["柔剣2", "Flashing Blade 2"]
["守備の城塞2", "Fortress Def 2"]
["魔防の城塞2", "Fortress Res 2"]
["獅子奮迅2", "Fury 2"]
["剛剣2", "Heavy Blade 2"]
["HP2", "HP +4"]
["HP攻撃1", "HP/Atk 1"]
["HP守備1", "HP/Def 1"]
["HP魔防1", "HP/Res 1"]
["HP速さ1", "HP/Spd 1"]
["鬼神飛燕の構え1", "Kestrel Stance 1"]
["死線2", "Life and Death 2"]
["鬼神明鏡の構え1", "Mirror Stance 1"]
["鬼神明鏡の一撃1", "Mirror Strike 1"]
["魔防2", "Resistance +2"]
["速さ守備1", "Spd/Def 1"]
["速さ守備の絆2", "Spd/Def Bond 2"]
["速さ魔防1", "Spd/Res 1"]
["速さ魔防の絆2", "Spd/Res Bond 2"]
["速さ2", "Speed +2"]
["飛燕金剛の一撃1", "Steady Blow 1"]
["金剛の構え2", "Steady Stance 2"]
["鬼神金剛の一撃1", "Sturdy Blow 1"]
["鬼神金剛の構え1", "Sturdy Stance 1"]
["鬼神飛燕の一撃1", "Swift Sparrow 1"]
["飛燕明鏡の構え1", "Swift Stance 1"]
["飛燕明鏡の一撃1", "Swift Strike 1"]
["相性激化2", "Triangle Adept 2"]
["明鏡の一撃2", "Warding Blow 2"]
["明鏡の構え2", "Warding Stance 2"]
["生命の静水2", "Water Boost 2"]
["生命の疾風2", "Wind Boost 2"]
["金剛の一撃3", "Armored Blow 3"]
["攻撃守備の絆3", "Atk/Def Bond 3"]
["攻撃魔防の絆3", "Atk/Res Bond 3"]
["攻撃速さ2", "Atk/Spd 2"]
["攻撃速さの絆3", "Atk/Spd Bond 3"]
["攻撃速さの渾身3", "Atk/Spd Push 3"]
["攻撃3", "Attack +3"]
["攻撃守備2", "Attack/Def +2"]
["攻撃魔防2", "Attack/Res 2"]
["金剛明鏡の一撃2", "Bracing Blow 2"]
["金剛明鏡の構え2", "Bracing Stance 2"]
["攻撃守備の大覚醒3", "Brazen Atk/Def 3"]
["攻撃魔防の大覚醒3", "Brazen Atk/Res 3"]
["攻撃速さの大覚醒3", "Brazen Atk/Spd 3"]
["守備魔防の大覚醒3", "Brazen Def/Res 3"]
["近距離防御3", "Close Def 3"]
["飛燕の一撃3", "Darting Blow 3"]
["飛燕の構え3", "Darting Stance 3"]
["鬼神の一撃3", "Death Blow 3"]
["守備3", "Defense +3"]
["攻撃の覚醒3", "Defiant Atk 3"]
["守備の覚醒3", "Defiant Def 3"]
["魔防の覚醒3", "Defiant Res 3"]
["速さの覚醒3", "Defiant Spd 3"]
["遠距離防御3", "Distant Def 3"]
["生命の大地3", "Earth Boost 3"]
["鬼神の構え3", "Fierce Stance 3"]
["生命の業火3", "Fire Boost 3"]
["柔剣3", "Flashing Blade 3"]
["守備の城塞3", "Fortress Def 3"]
["魔防の城塞3", "Fortress Res 3"]
["獅子奮迅3", "Fury 3"]
["剛剣3", "Heavy Blade 3"]
["HP3", "HP +5"]
["HP攻撃2", "HP/Atk 2"]
["HP守備2", "HP/Def 2"]
["HP魔防2", "HP/Res 2"]
["HP速さ2", "HP/Spd 2"]
["鬼神飛燕の構え2", "Kestrel Stance 2"]
["死線3", "Life and Death 3"]
["鬼神明鏡の構え2", "Mirror Stance 2"]
["鬼神明鏡の一撃2", "Mirror Strike 2"]
["魔防3", "Resistance +3"]
["速さ守備2", "Spd/Def 2"]
["速さ守備の絆3", "Spd/Def Bond 3"]
["速さ魔防2", "Spd/Res 2"]
["速さ魔防の絆3", "Spd/Res Bond 3"]
["速さ3", "Speed +3"]
["飛燕金剛の一撃2", "Steady Blow 2"]
["金剛の呼吸", "Steady Breath"]
["金剛の構え3", "Steady Stance 3"]
["鬼神金剛の一撃2", "Sturdy Blow 2"]
["鬼神金剛の構え2", "Sturdy Stance 2"]
["鬼神飛燕の一撃2", "Swift Sparrow 2"]
["飛燕明鏡の構え2", "Swift Stance 2"]
["飛燕明鏡の一撃2", "Swift Strike 2"]
["相性激化3", "Triangle Adept 3"]
["明鏡の一撃3", "Warding Blow 3"]
["明鏡の呼吸", "Warding Breath"]
["明鏡の構え3", "Warding Stance 3"]
["生命の静水3", "Water Boost 3"]
["生命の疾風3", "Wind Boost 3"]
["邪竜の鱗", "Dragonskin"]
["グラニの盾", "Grani's Shield"]
["アイオテの盾", "Iote's Shield"]
["サカの掟", "Laws of Sacae"]
["スヴェルの盾", "Svalinn Shield"]
["近距離反撃", "Close Counter"]
["遠距離反撃", "Distant Counter"]
["豊穣の喜び", "Live for Bounty"]
["栄誉の喜び", "Live for Honor"]
["曲技飛行1", "Aerobatics 1"]
["攻撃守備の連携1", "Atk/Def Link 1"]
["斧殺し1", "Axebreaker 1"]
["青魔殺し1", "B Tomebreaker 1"]
["業火の舞い1", "Blaze Dance 1"]
["攻撃隊形1", "Bold Fighter 1"]
["弓殺し1", "Bowbreaker 1"]
["差し違え1", "Brash Assault 1"]
["相性殺し1", "Cancel Affinity 1"]
["攻撃の封印1", "Chill Atk 1"]
["守備の封印1", "Chill Def 1"]
["魔防の封印1", "Chill Res 1"]
["速さの封印1", "Chill Spd 1"]
["暗器殺し1", "Daggerbreaker 1"]
["幻惑の杖1", "Dazzling Staff 1"]
["守備の共謀1", "Def Feint 1"]
["守備魔防の連携1", "Def/Res Link 1"]
["攻め立て1", "Desperation 1"]
["強化無効・近距離1", "Dull Close 1"]
["強化無効・遠距離1", "Dull Ranged 1"]
["大地の舞い1", "Earth Dance 1"]
["離脱の行路1", "Escape Route 1"]
["編隊飛行1", "Flier Formation 1"]
["緑魔殺し1", "G Tomebreaker 1"]
["疾風の舞い1", "Gale Dance 1"]
["キャンセル1", "Guard 1"]
["槍殺し1", "Lancebreaker 1"]
["ご奉仕の喜び1", "Live to Serve 1"]
["進軍阻止1", "Obstruct 1"]
["すり抜け1", "Pass 1"]
["蛇毒1", "Poison Strike 1"]
["切り返し1", "Quick Riposte 1"]
["赤魔殺し1", "R Tomebreaker 1"]
["回復1", "Renewal 1"]
["攻撃封じ1", "Seal Atk 1"]
["守備封じ1", "Seal Def 1"]
["魔防封じ1", "Seal Res 1"]
["速さ封じ1", "Seal Spd 1"]
["盾の鼓動1", "Shield Pulse 1"]
["速さの共謀1", "Spd Feint 1"]
["剣殺し1", "Swordbreaker 1"]
["静水の舞い1", "Torrent Dance 1"]
["待ち伏せ1", "Vantage 1"]
["迎撃隊形1", "Vengeful Fighter 1"]
["守備隊形1", "Wary Fighter 1"]
["水薙ぎ1", "Watersweep 1"]
["風薙ぎ1", "Windsweep 1"]
["救援の行路1", "Wings of Mercy 1"]
["怒り1", "Wrath 1"]
["神罰の杖1", "Wrathful Staff 1"]
["曲技飛行2", "Aerobatics 2"]
["攻撃守備の連携2", "Atk/Def Link 2"]
["斧殺し2", "Axebreaker 2"]
["青魔殺し2", "B Tomebreaker 2"]
["業火の舞い2", "Blaze Dance 2"]
["攻撃隊形2", "Bold Fighter 2"]
["弓殺し2", "Bowbreaker 2"]
["差し違え2", "Brash Assault 2"]
["相性殺し2", "Cancel Affinity 2"]
["攻撃の封印2", "Chill Atk 2"]
["守備の封印2", "Chill Def 2"]
["魔防の封印2", "Chill Res 2"]
["速さの封印2", "Chill Spd 2"]
["暗器殺し2", "Daggerbreaker 2"]
["幻惑の杖2", "Dazzling Staff 2"]
["守備の共謀2", "Def Feint 2"]
["守備魔防の連携2", "Def/Res Link 2"]
["攻め立て2", "Desperation 2"]
["強化無効・近距離2", "Dull Close 2"]
["強化無効・遠距離2", "Dull Ranged 2"]
["大地の舞い2", "Earth Dance 2"]
["離脱の行路2", "Escape Route 2"]
["業火疾風の舞い1", "Firestorm Dance 1"]
["編隊飛行2", "Flier Formation 2"]
["緑魔殺し2", "G Tomebreaker 2"]
["疾風の舞い2", "Gale Dance 2"]
["大地静水の舞い1", "Geyser Dance 1"]
["キャンセル2", "Guard 2"]
["槍殺し2", "Lancebreaker 2"]
["ご奉仕の喜び2", "Live to Serve 2"]
["進軍阻止2", "Obstruct 2"]
["すり抜け2", "Pass 2"]
["蛇毒2", "Poison Strike 2"]
["切り返し2", "Quick Riposte 2"]
["赤魔殺し2", "R Tomebreaker 2"]
["回復2", "Renewal 2"]
["攻撃封じ2", "Seal Atk 2"]
["攻撃守備封じ1", "Seal Atk/Def 1"]
["攻撃速さ封じ1", "Seal Atk/Spd 1"]
["守備封じ2", "Seal Def 2"]
["守備魔防封じ1", "Seal Def/Res 1"]
["魔防封じ2", "Seal Res 2"]
["速さ封じ2", "Seal Spd 2"]
