0\Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes\-\Kiran; -; -; -; -\Kiran; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\Chill Breidablik\
-11030\Siegmud\\400\14\1\Weapon\Lance Users Only\Ace(C137)\Grants adjacent allies Atk+3 through their next actions at the start of each turn.\*Slaying Spear*\-; -; -; -; Ace(C137)\-; -; -; -; Ace(C137)\Weapon, Blue, Blade\0,14,0,0,0\YFA\Sparky Siegmud\If unit initiates combat and unit's HP __>__ 90%, unit makes a guaranteed follow-up attack.
-11040\Sparky Siegmud\\400\14\1\Weapon\Lance Users Only\Ace(C137)\Grants Atk+3.  If number of foes within 3 spaces (excluding target) __>__ number of allies within 3 spaces (excluding unit), unit makes a guaranteed follow-up attack.\*Silver Lance*\-; -; -; -; -\-; -; -; -; -\Weapon, Blue, Blade, Atk\0,17,0,0,0\YFA\\If foe has weapon-triangle advantage over unit, foe cannot also have movement type effectiveness over unit.
-11050\TFG's Naginata\\400\16\1\Weapon\Lance Users Only\Fletcher\Unit can counterattack regardless of foe's range. During combat, if unit is within 2 spaces of an ally named Hana, unit makes a guaranteed follow-up attack.\*Silver Lance*\-; -; -; -; Fletcher\-; -; -; -; Fletcher\Weapon, Blue, Blade\0,16,0,0,0\Y\\
16000\Thunder\Thunder\50\4\2\Weapon\Blue Tome Users Only\-\-\-\All Thunder Tome Users; -; -; -; -\All Thunder Tome Users; -; -; -; -\Weapon, Blue, Tome, Iron\0,4,0,0,0\\\
16001\Elthunder\Thunder\100\6\2\Weapon\Blue Tome Users Only\-\-\*Thunder*\-; -; All Thunder Tome Users; -; -\-; All Thunder Tome Users; -; -; -\Weapon, Blue, Tome, Steel\0,6,0,0,0\\\
16002\Thoron\Thunder\200\9\2\Weapon\Blue Tome Users Only\-\-\*Elthunder*\-; -; -; Brunnya, Bruno, Catria(Bunny), Delthea, Delthea(Fallen), Ishtar, Linde, Lute, Olwen(Bonds), Reinhardt(Bonds), Sage; -\-; -; Brunnya, Bruno, Catria(Bunny), Delthea, Delthea(Fallen), Ishtar, Linde, Lute, Olwen(Bonds), Reinhardt(Bonds), Sage; -; -\Weapon, Blue, Tome, Silver\0,9,0,0,0\\\
16003\Thoron+\Thunder\300\13\2\Weapon\Blue Tome Users Only\-\-\*Thoron*\-; -; -; -; Sage\-; -; -; -; Sage\Weapon, Blue, Tome, Silver\0,13,0,0,0\\\y
16010\Light\Light\50\4\2\Weapon\Blue Tome Users Only\-\-\-\All Light Tome Users; -; -; -; -\All Light Tome Users; -; -; -; -\Weapon, Blue, Tome, Iron\0,4,0,0,0\\\
16011\Ellight\Light\100\6\2\Weapon\Blue Tome Users Only\-\-\*Light*\-; -; All Light Tome Users; -; -\-; All Light Tome Users; -; -; -\Weapon, Blue, Tome, Steel\0,6,0,0,0\\\
16012\Shine\Light\200\9\2\Weapon\Blue Tome Users Only\-\-\*Ellight*\-; -; -; Azura(Vallite), Julia(Crusader), Kliff, Laegjarn(Summer), L'Arachel, Micaiah, Mintz, Oliver, Ophelia, Saias; -\-; -; Azura(Vallite), Julia(Crusader), Kliff, Laegjarn(Summer), L'Arachel, Micaiah, Mintz, Oliver, Ophelia, Saias; -; Nebby\Weapon, Blue, Tome, Silver\0,9,0,0,0\\\
16013\Shine+\Light\300\13\2\Weapon\Blue Tome Users Only\-\-\*Shine*\-; -; -; -; Oliver\-; -; -; -; Oliver\Weapon, Blue, Tome, Silver\0,13,0,0,0\\\y
16020\Blarwolf\Blar\200\6\2\Weapon\Blue Tome Users Only\-\-\*Elthunder* or *Ellight*\-; -; -; Ursula; -\-; -; Ursula; -; -\Weapon, Blue, Tome, Wolftome\0,6,0,0,0\\\
16021\Blarwolf+\Blar\300\10\2\Weapon\Blue Tome Users Only\-\-\*Blarwolf*\-; -; -; -; Ursula\-; -; -; -; Ursula\Weapon, Blue, Tome, Wolftome\0,10,0,0,0\\Keen Blarwolf+\
16030\Blarraven\Blar\200\7\2\Weapon\Blue Tome Users Only\-\Grants weapon advantage vs. colorless foes.\*Elthunder* or *Ellight*\-; -; -; Robin(M); -\-; -; Robin(M); -; -\Weapon, Blue, Tome, Raventome\0,7,0,0,0\\\
16031\Blarraven+\Blar\300\11\2\Weapon\Blue Tome Users Only\-\Grants weapon advantage vs. colorless foes.\*Blarraven*\-; -; -; -; Robin(M)\-; -; -; -; Robin(M)\Weapon, Blue, Tome, Raventome\0,11,0,0,0\\\
16040\Blarblade\Blar\200\9\2\Weapon\Blue Tome Users Only\-\Slows Special trigger (cooldown count+1).  Adds total bonuses on unit to damage dealt.\*Elthunder* or *Ellight*\-; -; -; Odin, Tailtiu; -\-; -; Odin, Tailtiu; -; -\Weapon, Blue, Tome, Bladetome, SlowSpecial\0,9,0,0,0\\\
16041\Blarblade+\Blar\300\13\2\Weapon\Blue Tome Users Only\-\Slows Special trigger (cooldown count+1).  Adds total bonuses on unit to damage dealt.\*Blarblade*\-; -; -; -; Odin, Tailtiu\-; -; -; -; Odin, Tailtiu\Weapon, Blue, Tome, Bladetome, SlowSpecial\0,13,0,0,0\\\
16050\Aura\Thunder\400\14\2\Weapon\Blue Tome Users Only\Linde\Restores 5 HP to adjacent allies after any combat this unit initiates.\*Thoron*\-; -; -; -; Linde\-; -; -; -; Linde\Weapon, Blue, Tome, Life-Giver\0,14,0,0,0\\Dark Aura\If unit is within 2 spaces of magic or staff ally, grants Atk/Spd+5 during combat. ** At start of turn, grants Atk+6 to adjacent magic and staff allies for 1 turn.
16060\Valaskjalf\Thunder\400\14\2\Weapon\Blue Tome Users Only\Bruno\If unit’s HP __<__ 50% and foe initiates combat, unit can counterattack before foe’s first attack.\*Thoron*\-; -; -; -; Bruno\-; -; -; -; Bruno\Weapon, Blue, Tome\0,14,0,0,0\\\
16070\Dire Thunder\Thunder\400\9\2\Weapon\Blue Tome Users Only\Olwen(Bonds), Reinhardt(Bonds)\Spd-5. Attack twice when initiating combat.\*Thoron*\-; -; -; -; Olwen(Bonds), Reinhardt(Bonds)\-; -; -; -; Olwen(Bonds), Reinhardt(Bonds)\Weapon, Blue, Tome, Brave\0,9,-5,0,0\\\
16080\Blue Egg\Blar\200\7\2\Weapon\Blue Tome Users Only\-\After combat, if unit attacked, restores 4 HP.\*Elthunder* or *Ellight*\-; -; -; Lucina(Bunny); -\-; -; Lucina(Bunny); -; -\Weapon, Blue, Tome, Seasonal, Spring\0,7,0,0,0\\\
16081\Blue Egg+\Blar\300\11\2\Weapon\Blue Tome Users Only\-\After combat, if unit attacked, restores 4 HP.\*Blue Egg*\-; -; -; -; Lucina(Bunny)\-; -; -; -; Lucina(Bunny)\Weapon, Blue, Tome, Seasonal, Spring\0,11,0,0,0\\\y
16090\Blarowl\Blar\200\6\2\Weapon\Blue Tome Users Only\-\During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.\*Elthunder* or *Ellight*\-; -; -; Katarina(C137), Mae; -\-; -; Katarina(C137), Mae; -; -\Weapon, Blue, Tome, Owltome\0,6,0,0,0\\\
16091\Blarowl+\Blar\300\10\2\Weapon\Blue Tome Users Only\-\During combat, unit's Atk/Spd/Def/Res boosted by number of adjacent allies x 2.\*Blarowl*\-; -; -; -; Mae\-; -; -; -; Mae\Weapon, Blue, Tome, Owltome\0,10,0,0,0\\\1y
16100\Blessed Bouquet\Blar\300\9\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.\*Elthunder* or *Ellight*\-; -; -; Caeda(Bride); -\-; -; Caeda(Bride); -; -\Weapon, Blue, Tome, Seasonal, Bride\0,9,0,0,0\\\
16101\Blessed Bouquet+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Def/Res+2 through their next actions after any combat this unit initiates.\*Blessed Bouquet*\-; -; -; -; Caeda(Bride)\-; -; -; -; Caeda(Bride)\Weapon, Blue, Tome, Seasonal, Bride\0,12,0,0,0\\\*After combat, if unit attacked, grants Def/Res+5 to unit and allies within 2 spaces of unit for 1 turn.
16110\Dark Aura\Thunder\400\14\2\Weapon\Blue Tome Users Only\Delthea, Linde\Grants adjacent allies who use swords, axes, lances, dragonstone, or beast damage Atk+6 through their next actions at the start of each turn.\*Thoron*\-; -; -; -; Delthea\-; -; -; -; Delthea\Weapon, Blue, Tome\0,14,0,0,0\\\If unit is within 2 spaces of a sword, lance, axe, dragon, or beast ally, grants Atk/Spd+5 to unit during combat.
16120\Sealife Tome\Blar\200\8\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Atk/Spd+1 during combat\*Elthunder* or *Ellight*\-; -; -; Corrin(F)(Summer); -\-; -; Corrin(F)(Summer); -; -\Weapon, Blue, Tome, Seasonal, Summer\0,8,0,0,0\\\
16121\Sealife Tome+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Atk/Spd+1 during combat\*Sealife Tome*\-; -; -; -; Corrin(F)(Summer)\-; -; -; -; Corrin(F)(Summer)\Weapon, Blue, Tome, Seasonal, Summer\0,12,0,0,0\\\y
16130\Dancer's Score\Blar\200\10\2\Weapon\Blue Tome Users Only\-\If unit initiates attack, adjacent allies recover 7 HP after combat.\*Elthunder* or *Ellight*\-; -; -; Shigure(Performing); -\-; -; Shigure(Performing); -; -\Weapon, Blue, Tome, Seasonal, Fall, Life-Giver\0,10,0,0,0\\\
16131\Dancer's Score+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If unit initiates attack, adjacent allies recover 7 HP after combat.\*Dancer's Score*\-; -; -; -; Shigure(Performing)\-; -; -; -; Shigure(Performing)\Weapon, Blue, Tome, Seasonal, Fall, Life-Giver\0,12,0,0,0\\\y
16140\Weirding Tome\Thunder\400\14\2\Weapon\Blue Tome Users Only\Lute\Grants Spd+3. At start of turn, all foes in cardinal directions, and with Res 1 or more lower than unit, suffer Spd-5 until the end of foes' next actions.\*Thoron*\-; -; -; -; Lute\-; -; -; -; Lute\Weapon, Blue, Tome, Spd\0,14,3,0,0\\\If negative status effect (such as those inflicted by Panic or Threaten, or those that prevent counterattacks or restricting movement) is active on foe, grants Atk/Spd/Def/Res+4 during combat. ** Grants Spd +3.  At start of turn, if any foe's Res __<__ unit's Res-3, and that foe is adjacent to another foe, inflicts Spd/Res-5 on that foe through its next action.
16150\Keen Blarwolf\Blar\200\8\2\Weapon\Blue Tome Users Only\-\-\*Elthunder* or *Ellight*\-; -; -; -; -\-; -; -; -; -\Weapon, Blue, Tome, Wolftome\0,8,0,0,0\\\
16151\Keen Blarwolf+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\-\*Keen Blarwolf*\-; -; -; -; -\-; -; -; -; -\Weapon, Blue, Tome, Wolftome\0,12,0,0,0\\\If in combat against a cavalry foe, nullifies foe's bonuses (from skills like Fortify, Rally, etc.) during combat.
16160\Thani\Light\400\14\2\Weapon\Blue Tome Users Only\Micaiah\Grants Res+3.  Against armored and cavalry foes using bow, dagger, tome, or staff, damage from first attack received by unit during combat reduced by 30%.\*Shine*\-; -; -; -; Micaiah\-; -; -; -; Micaiah\Weapon, Blue, Tome, Armor-killer, Horse-killer, Res\0,14,0,0,3\\\
16170\Ivaldi\Light\400\14\2\Weapon\Blue Tome Users Only\L'Arachel\Grants Def+3.  If foe's HP = 100% at start of combat, grants Atk/Spd+3 during combat.\*Shine*\-; -; -; -; L'Arachel\-; -; -; -; L'Arachel\Weapon, Blue, Tome, Def\0,14,0,3,0\\\
16180\Blue Gift\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.\*Elthunder* or *Ellight*\-; -; -; Lyn(Valentines); -\-; -; Lyn(Valentines); -; -\Weapon, Blue, Tome, Seasonal, Valentine's\0,8,0,0,0\\\
16181\Blue Gift+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If foe uses bow, dagger, magic, or staff, neutralizes foe's bonuses (from skills like Fortify, Rally, etc.) during combat.\*Blue Gift*\-; -; -; -; Lyn(Valentines)\-; -; -; -; Lyn(Valentines)\Weapon, Blue, Tome, Seasonal, Valentine's\0,12,0,0,0\\\y
16190\Blarserpent\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.\*Elthunder* or *Ellight*\-; -; -; Morgan(F); -\-; -; Morgan(F); -; -\Weapon, Blue, Tome, Serpenttome, DistantDef\0,8,0,0,0\\\
16191\Blarserpent+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If foe initiates combat and uses bow, dagger, magic, or staff, grants Def/Res+6 during combat.\*Blarserpent*\-; -; -; -; Morgan(F)\-; -; -; -; Morgan(F)\Weapon, Blue, Tome, Serpenttome, DistantDef\0,12,0,0,0\\\y
16200\Huginn's Egg\Thunder\400\14\2\Weapon\Blue Tome Users Only\Catria(Bunny)\Grants Res+3.  At start of turn, if unit's HP__>__50%, inflincts Atk/Def-5 on foe on the enemy team with the lowest Res through its next action.\*Thoron*\-; -; -; -; Catria(Bunny)\-; -; -; -; Catria(Bunny)\Weapon, Blue, Tome, Seasonal, Spring, Res\0,14,0,0,3\\\
16210\Wargod's Tome\Light\400\14\2\Weapon\Blue Tome Users Only\Saias\At start of turn, inflicts Atk/Res-4 on foes in cardinal directions with Res < unit's Res through their next actions.\*Shine*\-; -; -; -; Saias\-; -; -; -; Saias\Weapon, Blue, Tome\0,14,0,0,0\\\
16220\Mjolnir\Thunder\400\14\2\Weapon\Blue Tome Users Only\Ishtar\Accelerates Special trigger (cooldown count-1).  Grants Spd+6 during combat if unit initiates combat.\*Thoron*\-; -; -; -; Ishtar\-; -; -; -; Ishtar\Weapon, Blue, Tome, Killer\0,14,0,0,0\\\
16230\Fresh Bouquet\Blar\200\8\2\Weapon\Blue Tome Users Only\-\At start of turn, if unit is adjacent to an ally, grants Spd+4 to unit and adjacent allies for 1 turn.\*Elthunder* or *Ellight*\-; -; -; Ninian(Bride); -\-; -; Ninian(Bride); -; -\Weapon, Blue, Tome, Seasonal, Bride\0,8,0,0,0\\\
16231\Fresh Bouquet+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\At start of turn, if unit is adjacent to an ally, grants Spd+4 to unit and adjacent allies for 1 turn.\*Fresh Bouquet*\-; -; -; -; Ninian(Bride)\-; -; -; -; Ninian(Bride)\Weapon, Blue, Tome, Seasonal, Bride\0,12,0,0,0\\\y
16240\Odin's Grimoire\Thunder\400\14\2\Weapon\Blue Tome Users Only\Odin\Adds total bonuses on unit to damage dealt.\-\-; -; -; -; -\-; -; -; -; Odin\Weapon, Blue, Tome, Bladetome\0,14,0,0,0\\\If a movement Assist skill (Reposition, Shove, Pivot, etc.) is used on or by this unit, grants Atk/Spd+6 to both parties involved.
16250\Missiletainn (Dusk)\Light\400\14\2\Weapon\Blue Tome Users Only\Ophelia\Accelerates Special trigger (cooldown count-1).  At the start of turn 1, grants Special cooldown count-1 for each magic ally on your team (includes unit).\*Shine*\-; -; -; -; Ophelia\-; -; -; -; Ophelia\Weapon, Blue, Tome, Killer\0,14,0,0,0\\\
16260\Sagittae\Light\400\14\2\Weapon\Blue Tome Users Only\Kliff\Grants Def+3.  At start of combat, if foe's Atk __>__ unit's Atk +5, grants Atk/Spd/Def/Res+5 during combat.\*Shine*\-; -; -; -; Kliff\; ; -; -; Kliff\Weapon, Blue, Tome, Def\0,14,0,3,0\\\
16270\Tactical Bolt\Thunder\400\14\2\Weapon\Blue Tome Users Only\Robin(M)\Grants weapon-triangle advantage against colorless foes, and inflicts weapon-triangle disadvantage on colorless foes during combat.\-\-; -; -; -; -\-; -; -; -; Robin(M)\Weapon, Blue, Tome\0,14,0,0,0\\\At start of turn, grants Atk/Spd/Def/Res+4 to allies within 2 spaces for 1 turn. Granted only if number of that ally's movement type on current team __<__ 2.
16280\Prayer Wheel\Light\400\14\2\Weapon\Blue Tome Users Only\Azura(Vallite)\Grants Spd+3.  If Sing or Dance is used, grants bonus to target's Atk/Spd/Def/Res = highest bonus on target ally for 1 turn.  (Example: if target already has a +6 bonus to Atk, grants a +6 bonus to Spd/Def/Res as well.)\*Shine*\-; -; -; -; Azura(Vallite)\-; -; -; -; Azura(Vallite)\Weapon, Blue, Tome, DanceRally, Spd\0,14,3,0,0\\\
16290\Blarblooms\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If user is adjacent to an ally, graths Atk/Spd/Def/Res+3 during combat.\*Elthunder* or *Ellight*\-; -; -; Soren(Valentines); -\-; -; Soren(Valentines); -; -\Weapon, Blue, Tome, Bloomtome, Seasonal, Valentine's\0,8,0,0,0\\\
16291\Blarblooms+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If user is adjacent to an ally, graths Atk/Spd/Def/Res+3 during combat.\*Blarblooms*\-; -; -; -; Soren(Valentines)\-; -; -; -; Soren(Valentines)\Weapon, Blue, Tome, Bloomtome, Seasonal, Valentine's\0,12,0,0,0\\\y
16300\Juicy Wave\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If unit initiates combat with HP __<__ 75%, follow-up attacks occur immediately after unit's attack.\*Elthunder* or *Ellight*\-; -; -; Camilla(Summer); -\-; -; Camilla(Summer); -; -\Weapon, Blue, Tome, Seasonal, Summer\0,8,0,0,0\\\
16301\Juicy Wave+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If unit initiates combat with HP __<__ 75%, follow-up attacks occur immediately after unit's attack.\*Juicy Wave*\-; -; -; -; Camilla(Summer)\-; -; -; -; Camilla(Summer)\Weapon, Blue, Tome, Seasonal, Summer\0,12,0,0,0\\\y
16310\Tome of Thoron\Thunder\400\14\2\Weapon\Blue Tome Users Only\Tailtiu\If unit's HP __<__ 75% and unit's attack triggers Special, grants Special cooldown count -1 at start of turn, and deals +10 damage when Special triggers.\-\-; -; -; -; -\-; -; -; -; Tailtiu\Weapon, Blue, Tome, WoDao\0,14,0,0,0\\\If unit initiates combat, grants Spd+6 during combat.
16320\Death\Thunder\400\14\2\Weapon\Blue Tome Users Only\Delthea(Fallen)\Grants Res+3. Grants Atk/Spd/Def/Res+4 during combat. After combat, if unit attacked, deals 4 damage to unit.\*Thoron*\-; -; -; -; Delthea(Fallen)\-; -; -; -; Delthea(Fallen)\Weapon, Blue, Tome, Res\0,14,0,0,3\\\
16330\Vessel of Cheer\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If unit initiates combat, grants Atk/Spd+4 during combat.\*Elthunder* or *Ellight*\-; -; -; Pent(Groom); -\-; -; Pent(Groom); -; -\Weapon, Blue, Tome, Seasonal, Bride\0,8,0,0,0\\\
16331\Vessel of Cheer+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If unit initiates combat, grants Atk/Spd+4 during combat.\*Vessel of Cheer*\-; -; -; -; Pent(Groom)\-; -; -; -; Pent(Groom)\Weapon, Blue, Tome, Seasonal, Bride\0,12,0,0,0\\\y
16340\Worldsea Wave\Light\400\14\2\Weapon\Blue Tome Users Only\Laegjarn(Summer)\Grants Spd+3. If unit's HP __>__ 50% and unit initiates combat, unit can make a follow-up attack before foe can counterattack.\*Shine*\-; -; -; -; Laegjarn(Summer)\-; -; -; -; Laegjarn(Summer)\Weapon, Blue, Tome, Seasonal, Summer\0,14,3,0,0\\\
16350\Book of Orchids\Thunder\400\14\2\Weapon\Blue Tome Users Only\Mae\If unit initiates combat, grants Atk+6 during combat.\-\-; -; -; -; -\-; -; -; -; Mae\Weapon, Blue, Tome\0,14,0,0,0\\\If a movement Assist skill (Reposition, Shove, Pivot, etc.) is used on or by this unit, grants Atk/Spd+6 to both parties involved.
16360\Virtuous Naga\Light\400\14\2\Weapon\Blue Tome Users Only\Julia(Crusader)\Grants Atk+3. If unit's Atk > foe's Atk, grants Atk/Res+6 during combat.\*Shine*\-; -; -; -; Julia(Crusader)\-; -; -; -; Julia(Crusader)\Weapon, Blue, Tome, Dragon-killer, Atk\0,17,0,0,0\\\
16370\Blarfox\Blar\200\8\2\Weapon\Blue Tome Users Only\-\If unit initiates combat, Atk/Spd/Def/Res-4 on foe during combat.\*Elthunder* or *Ellight*\-; -; -; -; -\-; -; -; -; -\Weapon, Blue, Tome, Foxtome\0,8,0,0,0\\\
16371\Blarfox+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\If unit initiates combat, Atk/Spd/Def/Res-4 on foe during combat.\*Blarfox*\-; -; -; -; -\-; -; -; -; -\Weapon, Blue, Tome, Foxtome\0,12,0,0,0\\\y
16380\Silver Goblet\Blar\200\8\2\Weapon\Blue Tome Users Only\-\Grants Def/Res+4 to allies within 2 spaces during combat against bow, dagger, magic, or staff foes.\*Elthunder* or *Ellight*\-; -; -; Rinea(Soiree); -\-; -; Rinea(Soiree); -; -\Weapon, Blue, Tome, Seasonal, Fall\0,8,0,0,0\\\
16381\Silver Goblet+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\Grants Def/Res+4 to allies within 2 spaces during combat against bow, dagger, magic, or staff foes.\*Silver Goblet*\-; -; -; -; Rinea(Soiree)\-; -; -; -; Rinea(Soiree)\Weapon, Blue, Tome, Seasonal, Fall\0,12,0,0,0\\\y
16390\Spooky Censor\Blar\200\8\2\Weapon\Blue Tome Users Only\-\Grants Atk/Spd/Def/Res+3.  After combat, deals 6 damage to unit.\*Elthunder* or *Ellight*\-; -; -; Ilyana(Halloween); -\-; -; Ilyana(Halloween); -; -\Weapon, Blue, Tome, Seasonal, Halloween\0,11,3,3,3\\\
16391\Spooky Censor+\Blar\300\12\2\Weapon\Blue Tome Users Only\-\Grants Atk/Spd/Def/Res+3.  After combat, deals 6 damage to unit.\*Spooky Censor*\-; -; -; -; Ilyana(Halloween)\-; -; -; -; Ilayna(Halloween)\Weapon, Blue, Tome, Seasonal, Halloween\0,15,3,3,3\\\y
16400\Fimbulvetr\Thunder\400\14\2\Weapon\Blue Tome Users Only\Brunnya\Grants Res+3.  If penalty such as those inflicted by a skill like Panic or Threaten is active on unit, unit has a negative status effect such as those inflicted by skills like Guard or Triangle Adept, or unit's HP < 100%, neutralizes penalties on unit and grants Atk/Spd/Res/Def+4 during combat.\*Thoron*\-; -; -; -; Brunnya\-; -; -; -; Brunnya\Weapon, Blue, Tome, Res\0,14,0,0,3\\\
-16000\Divine Fist\Light\400\14\2\Weapon\Blue Tome Users Only\Mintz\Grants Def+5.  Grants +10 to damage when Fire Special triggers.\*Shine*\-; -; -; -; Mintz\-; -; -; -; Mintz\Weapon, Blue, Tome, WoDao_Fire, Def\0,14,0,5,0\YA\\
-16010\Kat's Cup\Thunder\400\14\2\Weapon\Blue Tome Users Only\Katarina(C137)\Accelerates Special trigger (cooldown count-1).\*Blarowl*\-; -; -; -; Katarina(C137)\-; -; -; -; Katarina(C137)\Weapon, Blue, Tome, Killer\0,14,0,0,0\YK\\
-16020\Unaware Ring\Light\400\12\2\Weapon\Blue Tome Users Only\Nebby\Prevents this unit from taking damage outside of combat.\*Shine*\-; -; -; -; -\-; -; -; -; Nebby\Weapon, Blue, Tome\0,12,0,0,0\Y\\Prevents unit from having stats lowered.  If unit's HP = 100% at the start of combat, reduce damage taken by 50%.
-16030\Blarhog\Blar\200\5\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Spd/Res+1 during combat.\*Elthunder* or *Ellight*\-; -; -; Mex; -\-; -; Mex; -; -\Weapon, Blue, Tome, Hogtome\0,5,0,0,0\Y\\
-16031\Blarhog+\Blar\300\11\2\Weapon\Blue Tome Users Only\-\Grants allies within 2 spaces Spd/Res+2 during combat.\*Blarhog*\-; -; -; -; Mex\-; -; -; -; Mex\Weapon, Blue, Tome, Hogtome\0,11,0,0,0\Y\\
21000\Iron Axe\\50\6\1\Weapon\Axe Users Only\-\-\-\All Axe Users; -; -; -; -\All Axe Users; -; -; -; -\Weapon, Green, Blade, Iron\0,6,0,0,0\\\
21001\Steel Axe\\100\8\1\Weapon\Axe Users Only\-\-\*Iron Axe*\-; -; All Axe Users; -; -\-; All Axe Users; -; -; -\Weapon, Green, Blade, Steel\0,8,0,0,0\\\
21002\Silver Axe\\200\11\1\Weapon\Axe Users Only\-\-\*Steel Axe*\-; -; -; Anna, Azura(Performing), Dorcas, Edelgard, Ephraim(Brave), Gunter, Gustav, Hector, Hector(Marquess), Hector(Valentines), Hel, Helbindi, Hilda, Ike(Brave), Linus, Michalis, Minerva, Surtr, Teestoo, Walhart, Zegend; -\-; -; Anna, Azura(Performing), Dorcas, Edelgard, Ephraim(Brave), Gunter, Gustav, Hector, Hector(Marquess), Hector(Valentines), Hel, Helbindi, Hilda, Ike(Brave), Linus, Michalis, Minerva, Surtr, Teestoo, Walhart, Zegend; -; -\Weapon, Green, Blade, Silver\0,11,0,0,0\\\
21003\Silver Axe+\\300\15\1\Weapon\Axe Users Only\-\-\*Silver Axe*\-; -; -; -; Gunter\-; -; -; -; Gunter\Weapon, Green, Blade, Silver\0,15,0,0,0\\\y
21010\Noatun\\400\16\1\Weapon\Axe Users Only\Anna\If unit's HP __<__ 40%, unit can move to a space adjacent to any ally.\*Silver Axe*\-; -; -; -; Anna\-; -; -; -; Anna\Weapon, Green, Blade\0,16,0,0,0\\\If unit's HP __>__ 50%, unit can move to a space adjacent to any ally within 2 spaces. ** If unit's HP __<__ 50%, unit can move to a space adjacent to any ally.
21020\Brave Axe\\200\5\1\Weapon\Axe Users Only\-\Spd-5. Attack twice when initiating combat.\*Steel Axe*\-; -; -; Barst, Camilla(Launch), Haar, Raven, Ross; -\-; -; Barst, Camilla(Launch), Haar, Raven, Ross; -; -\Weapon, Green, Blade, Brave\0,5,-5,0,0\\\
21021\Brave Axe+\\300\8\1\Weapon\Axe Users Only\-\Spd-5. Attack twice when initiating combat.\*Brave Axe*\-; -; -; -; Barst, Camilla(Launch), Haar, Raven, Ross\-; -; -; -; Barst, Camilla(Launch), Haar, Raven, Ross\Weapon, Green, Blade, Brave\0,8,-5,0,0\\\
21030\Hammer\\200\8\1\Weapon\Axe Users Only\-\-\*Steel Axe*\-; -; -; Bartre, Cherche, Frederick, Tuna; -\-; -; Bartre, Cherche, Frederick, Tuna; -; -\Weapon, Green, Blade, Armor-killer\0,8,0,0,0\\\
21031\Hammer+\\300\12\1\Weapon\Axe Users Only\-\-\*Hammer*\-; -; -; -; Bartre, Cherche, Frederick\-; -; -; -; Bartre, Cherche, Frederick\Weapon, Green, Blade, Armor-killer\0,12,0,0,0\\Slaying Hammer+\
21040\Emerald Axe\\200\8\1\Weapon\Axe Users Only\-\Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.\*Steel Axe*\-; -; -; Arthur(Fates), Narcian, Titania; -\-; -; Arthur(Fates), Narcian, Titania; -; -\Weapon, Green, Blade, Gem\0,8,0,0,0\\\
21041\Emerald Axe+\\300\12\1\Weapon\Axe Users Only\-\Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.\*Emerald Axe*\-; -; -; -; Arthur(Fates), Narcian, Titania\-; -; -; -; Arthur(Fates), Narcian, Titania\Weapon, Green, Blade, Gem\0,12,0,0,0\\\
21050\Killer Axe\\200\7\1\Weapon\Axe Users Only\-\Accelerates Special trigger (cooldown count-1).\*Steel Axe*\-; -; -; Beruka, Hawkeye, Sheena; -\-; -; Beruka, Hawkeye, Sheena; -; -\Weapon, Green, Blade, Killer\0,7,0,0,0\\\
21051\Killer Axe+\\300\11\1\Weapon\Axe Users Only\-\Accelerates Special trigger (cooldown count-1).\*Killer Axe*\-; -; -; -; Beruka, Hawkeye, Sheena\-; -; -; -; Beruka, Hawkeye, Sheena\Weapon, Green, Blade, Killer\0,11,0,0,0\\Slaying Axe+\
